,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
158,misratah,2,LY,1571687602,72,32.38,15.09,74.53,15.01
159,saskylakh,100,RU,1571687603,91,71.97,114.09,11.75,9.78
160,nuuk,5,GL,1571687603,59,64.17,-51.74,35.6,17.22
161,rio gallegos,40,US,1571687604,54,41.11,-90.4,64.0,25.28
162,moerai,3,PF,1571687605,85,-22.43,-151.33,72.73,17.98
163,tual,3,ID,1571687605,81,-5.67,132.75,77.94,7.27
164,lisala,100,CD,1571687606,99,2.15,21.52,69.69,0.51
165,thompson,75,CA,1571687607,56,55.74,-97.86,41.0,9.17
166,mount gambier,75,GB,1571687607,81,53.66,-1.85,48.99,3.36
167,takapau,16,NZ,1571687607,68,-40.02,176.35,54.0,11.99
168,ippy,100,CF,1571687607,98,6.26,21.2,67.98,3.94
169,jambi,96,ID,1571687609,96,-1.6,103.62,73.49,2.35
170,pembroke,20,CA,1571687609,62,45.82,-77.11,59.0,4.7
171,klaksvik,100,FO,1571687610,100,62.23,-6.59,50.0,21.92
172,port alfred,93,CD,1571687611,75,-7.04,29.76,78.75,5.73
173,grindavik,40,IS,1571687612,74,63.84,-22.43,37.4,25.28
174,port hardy,93,CD,1571687613,75,-7.04,29.76,78.75,5.73
175,praia,75,BR,1571687613,51,-20.25,-43.81,82.4,5.82
176,sioux lookout,90,US,1571687614,100,46.74,-90.88,48.2,16.11
177,mataya,98,KE,1571687615,90,0.36,34.17,66.87,0.6
178,port blair,93,CD,1571687616,75,-7.04,29.76,78.75,5.73
179,mys shmidta,100,RU,1571687617,89,62.06,48.62,35.06,17.54
180,kysyl-syr,99,RU,1571687617,92,63.9,122.77,24.28,2.1
181,dubovka,0,RU,1571687618,93,49.06,44.83,46.0,8.95
182,luau,44,CD,1571687619,69,-10.7,22.23,69.94,4.85
183,kodinsk,100,RU,1571687619,77,58.6,99.18,19.83,6.64
184,lagos,20,NG,1571687620,88,6.46,3.39,80.6,3.36
185,atasu,22,KZ,1571687621,41,48.68,71.64,27.93,7.09
186,provideniya,75,RU,1571687621,80,64.42,-173.23,33.8,6.71
187,arvika,47,SE,1571687621,93,59.65,12.59,42.01,9.17
188,touros,75,BR,1571687622,61,-5.2,-35.46,82.4,16.11
189,honiara,40,SB,1571687622,100,-9.43,159.96,71.6,1.3
190,mar del plata,43,CN,1571687623,65,29.86,90.73,27.23,3.49
191,katherine,0,AU,1571687624,41,-14.47,132.26,60.8,6.93
192,bur gabo,90,FI,1571687624,86,63.56,22.87,39.99,10.29
193,shestakovo,77,RU,1571687625,90,56.49,103.96,17.58,2.44
194,clyde river,9,NZ,1571687625,72,-45.19,169.32,45.0,1.01
195,ocu,77,PA,1571687626,83,7.95,-80.78,80.51,10.07
196,padang,92,ID,1571687627,93,-0.92,100.36,66.81,1.92
197,smithers,90,CA,1571687627,93,54.78,-127.17,39.2,5.82
198,okha,41,RU,1571687628,93,53.59,142.95,41.9,13.58
199,stawell,0,AU,1571687628,76,-37.06,142.77,48.65,3.8
200,muli,100,CN,1571687629,74,28.08,109.56,59.74,6.71
201,victoria,75,BN,1571687631,88,5.28,115.24,80.6,9.62
202,kahului,20,US,1571687631,51,20.89,-156.47,84.2,4.7
203,obidos,20,PT,1571687632,87,39.36,-9.16,57.2,4.7
204,bhan,0,PK,1571687633,23,26.56,67.72,81.7,0.49
205,presidente medici,100,BR,1571687634,81,-29.95,-50.11,62.98,8.57
206,aksu,54,KZ,1571687635,92,52.04,76.93,12.2,6.71
207,bathsheba,20,BB,1571687636,58,13.22,-59.52,86.0,14.99
208,ivolginsk,100,RU,1571687636,85,51.75,107.28,17.6,2.24
209,sol-iletsk,0,RU,1571687636,43,51.16,55.0,37.33,6.6
210,nouadhibou,51,MR,1571687637,68,20.93,-17.03,71.6,18.34
211,pizarro,89,CO,1571687637,80,4.95,-77.37,79.95,10.98
212,kuryk,0,KZ,1571687637,60,43.18,51.68,59.05,16.49
213,erzin,75,TR,1571687638,68,36.95,36.2,71.01,3.27
214,prado,46,CO,1571687638,57,3.75,-74.93,82.67,6.69
215,lajas,1,PR,1571687639,66,18.05,-67.06,87.8,14.99
216,raudeberg,75,NO,1571687640,87,61.99,5.14,48.2,33.33
217,fort nelson,55,IN,1571687641,96,17.96,79.61,70.86,4.43
218,killybegs,90,IE,1571687641,76,54.63,-8.45,50.0,14.99
219,miles city,0,AU,1571687641,69,-26.66,150.19,60.28,10.78
220,murray bridge,90,US,1571687642,57,40.67,-111.89,55.0,12.75
221,narsaq,20,GL,1571687643,60,60.91,-46.05,39.2,3.36
222,iqaluit,40,CA,1571687644,86,63.75,-68.52,30.2,19.46
223,soyo,94,AO,1571687644,86,-6.13,12.37,78.39,6.04
224,esso,97,RU,1571687644,96,55.93,158.7,20.7,3.6
225,wawa,68,NG,1571687645,71,9.9,4.41,80.13,2.19
226,lorengau,93,PG,1571687645,73,-2.02,147.27,84.25,8.81
227,margate,20,AU,1571687647,87,-43.03,147.26,45.0,1.12
228,yakeshi,2,CN,1571687647,55,49.28,120.73,25.36,8.48
229,pangnirtung,40,CA,1571687648,73,66.15,-65.72,26.6,2.21
230,mmabatho,0,ZA,1571687649,9,-25.85,25.61,78.8,6.93
231,salalah,100,OM,1571687650,54,17.01,54.1,84.2,5.82
232,hobyo,0,SO,1571687650,77,5.35,48.53,80.65,8.43
233,sorata,41,BO,1571687651,31,-15.77,-68.65,47.91,9.78
234,unity,95,CA,1571687651,60,52.44,-109.15,48.0,1.99
235,athabasca,78,CA,1571687652,59,54.72,-113.29,41.94,7.18
236,grand river south east,90,FR,1571687653,81,48.39,5.49,53.6,2.24
237,vila velha,75,IT,1571687653,100,45.18,8.4,64.4,5.82
238,soure,20,PT,1571687654,87,40.06,-8.63,57.0,4.7
239,olhao,20,PT,1571687655,59,37.03,-7.84,62.6,10.29
240,tuatapere,100,NZ,1571687656,89,-46.13,167.69,43.0,8.01
241,zhanakorgan,0,KZ,1571687656,46,43.91,67.25,45.54,7.07
242,gigmoto,15,PH,1571687657,73,13.78,124.39,82.44,1.81
243,fare,18,PF,1571687657,70,-16.7,-151.02,80.56,6.11
244,hualmay,0,PE,1571687658,63,-11.1,-77.61,66.52,8.16
245,areado,40,BR,1571687658,64,-21.36,-46.15,71.6,3.6
246,koksovyy,0,RU,1571687660,67,48.2,40.6,51.24,5.35
247,karratha,8,AU,1571687661,58,-20.74,116.85,80.33,9.57
248,pervomayskiy,73,RU,1571687662,81,53.24,40.29,53.37,9.15
249,naryan-mar,100,RU,1571687662,93,67.67,53.09,16.18,6.76
250,luena,15,AO,1571687663,47,-11.78,19.91,70.16,4.65
251,kandrian,36,PG,1571687663,93,-6.21,149.55,76.03,5.03
252,mastic beach,1,US,1571687663,59,40.8,-72.84,66.99,9.17
253,nizhniy kuranakh,0,RU,1571687664,81,45.39,39.24,57.99,8.95
254,moroni,20,GR,1571687665,73,35.09,24.92,73.0,14.99
255,nikolskoye,90,RU,1571687665,86,59.7,30.79,42.01,2.24
256,istmina,75,CO,1571687666,70,5.16,-76.69,84.2,5.82
257,saint-augustin,75,CA,1571687667,47,45.63,-73.98,61.0,3.36
258,renukut,95,IN,1571687667,72,24.22,83.04,69.67,4.07
259,mishan,0,CN,1571687668,50,45.55,131.88,39.24,2.19
260,lerwick,75,GB,1571687669,81,60.15,-1.15,50.0,27.51
261,eutin,90,DE,1571687670,100,54.14,10.62,55.99,2.24
262,mayo,90,CA,1571687670,92,63.59,-135.9,30.2,3.44
263,milledgeville,40,US,1571687671,61,33.08,-83.23,82.99,7.74
264,adrar,0,DZ,1571687671,14,27.87,-0.29,84.2,9.17
265,port shepstone,93,CD,1571687672,75,-7.04,29.76,78.75,5.73
266,mao,78,DO,1571687673,62,19.55,-71.08,90.0,5.99
267,denpasar,20,ID,1571687674,100,-8.65,115.22,77.0,3.36
268,businga,100,CD,1571687674,99,3.34,20.89,69.1,0.54
269,kavaratti,100,IN,1571687675,89,10.57,72.64,79.12,24.4
270,chokurdakh,99,RU,1571687677,93,70.62,147.9,4.15,7.16
271,yulara,0,AU,1571687677,16,-25.24,130.99,64.4,6.93
272,leningradskiy,100,RU,1571687678,90,69.38,178.42,27.27,25.66
273,lompoc,1,US,1571687680,23,34.64,-120.46,88.0,5.82
274,pisco,16,PE,1571687681,30,-13.71,-76.2,71.6,11.41
275,tessalit,96,ML,1571687681,29,20.2,1.01,89.01,10.31
276,westport,40,US,1571687681,48,41.14,-73.36,68.0,9.17
277,severo-kurilsk,100,RU,1571687682,83,50.68,156.12,33.96,7.31
278,zhigalovo,64,RU,1571687682,96,54.81,105.15,18.59,2.44
279,tara,63,JP,1571687683,61,33.0,130.15,61.0,3.44
280,bosilegrad,0,RS,1571687684,58,42.5,22.47,54.12,3.96
281,bethel,90,US,1571687685,88,60.79,-161.76,32.0,12.75
282,bambous virieux,40,MU,1571687686,83,-20.26,57.41,75.2,11.41
283,navolato,20,MX,1571687686,52,24.76,-107.7,91.0,3.36
284,buala,0,SB,1571687687,80,-8.15,159.59,80.85,4.92
285,paita,0,PE,1571687687,100,-5.09,-81.11,62.6,13.87
286,tiszaalpar,11,HU,1571687688,77,46.81,20.0,62.6,2.24
287,mount pleasant,75,GB,1571687690,81,53.66,-1.85,48.99,3.36
288,arman,100,RU,1571687691,64,59.7,150.17,34.21,8.39
289,ancud,0,CL,1571687692,63,-41.87,-73.83,55.4,9.17
290,gewane,0,ET,1571687692,38,10.16,40.66,82.67,13.2
291,sabha,30,LY,1571687693,40,27.03,14.43,76.42,11.77
292,hameenlinna,90,FI,1571687693,94,61.0,24.46,37.99,3.36
293,cristalina,72,BR,1571687694,49,-16.77,-47.61,80.73,1.97
294,jacareacanga,90,BR,1571687695,100,-6.22,-57.76,73.4,4.7
295,merke,40,KZ,1571687695,65,42.87,73.19,38.41,3.58
296,poperinge,75,BE,1571687696,93,50.86,2.73,55.4,4.7
297,antigonish,1,CA,1571687697,50,45.62,-61.99,57.99,5.82
298,high level,1,US,1571687698,32,33.61,-95.75,73.4,9.17
299,kupang,67,ID,1571687699,73,-10.16,123.6,77.41,5.64
300,bilma,0,NE,1571687700,16,18.69,12.92,85.6,11.18
301,meulaboh,100,ID,1571687700,82,4.14,96.13,79.59,5.5
302,polunochnoye,100,RU,1571687700,93,60.87,60.43,35.6,12.95
303,kinablangan,36,PH,1571687701,90,7.69,126.55,72.43,2.91
304,dedougou,73,BF,1571687702,58,12.47,-3.47,83.41,10.67
305,tautira,75,PF,1571687703,74,-17.73,-149.15,82.4,6.93
306,doha,0,QA,1571687703,70,25.29,51.53,86.0,4.7
307,borogontsy,43,RU,1571687704,94,62.67,131.17,18.97,3.18
308,japura,100,ID,1571687704,93,-0.42,102.29,74.14,2.48
309,barra dos coqueiros,0,GM,1571687705,74,13.49,-16.54,84.2,5.82
310,orel-izumrud,0,RU,1571687705,87,43.46,39.92,59.0,6.71
311,pathein,54,MM,1571687706,83,16.78,94.73,81.07,5.73
312,manokwari,100,ID,1571687706,69,-0.87,134.08,74.1,5.26
313,mangaldai,40,IN,1571687706,94,26.43,92.03,75.2,1.74
314,poum,0,MK,1571687707,81,41.28,20.71,51.8,4.7
315,ishigaki,18,JP,1571687707,70,24.34,124.16,74.64,13.98
316,tangzhai,100,CN,1571687707,96,26.73,109.0,63.79,1.72
317,ahipara,6,NZ,1571687708,100,-35.17,173.16,57.0,21.63
318,jalu,0,LY,1571687708,67,29.03,21.55,70.9,10.47
319,mnogovershinnyy,100,RU,1571687708,90,53.94,139.92,36.01,12.57
320,hokitika,99,NZ,1571687709,67,-42.72,170.96,52.61,17.74
321,nanortalik,21,GL,1571687709,75,60.14,-45.24,38.12,6.53
322,helena,90,US,1571687709,45,46.59,-112.04,48.0,16.11
323,dingle,0,PH,1571687710,91,11.0,122.67,74.39,5.35
324,omsukchan,90,RU,1571687710,100,62.53,155.8,2.3,2.17
325,port hedland,93,CD,1571687710,75,-7.04,29.76,78.75,5.73
326,saint-pierre,33,FR,1571687711,93,48.95,4.24,53.6,5.82
327,elizabeth city,1,US,1571687711,32,40.66,-74.21,68.0,6.76
328,akureyri,90,IS,1571687711,96,65.68,-18.09,32.0,18.34
329,muisne,40,EC,1571687712,74,0.61,-80.02,84.2,11.41
330,banjar,90,ID,1571687712,93,-7.37,108.54,73.2,1.68
331,willowmore,37,ZA,1571687713,80,-33.3,23.49,42.85,5.88
332,chulman,100,RU,1571687713,96,56.84,124.9,25.0,5.14
333,fuyu,63,CN,1571687714,34,47.79,124.46,38.66,4.23
334,biak,48,ID,1571687714,77,-0.91,122.88,79.43,11.7
335,faya,0,SA,1571687715,88,18.39,42.45,62.6,6.93
336,kirovskiy,0,RU,1571687716,58,45.09,133.51,38.3,5.03
337,jinchang,0,CN,1571687716,35,38.52,102.19,42.26,2.46
338,botwood,90,CA,1571687716,87,49.14,-55.34,48.0,12.75
339,ulladulla,0,AU,1571687718,93,-35.36,150.48,51.01,8.05
340,miramar,75,CR,1571687720,88,10.09,-84.73,75.0,9.17
341,san patricio,8,ML,1571687720,47,13.3,-4.9,86.45,5.7
342,coahuayana,82,MX,1571687721,72,18.62,-100.35,82.56,2.33
343,faanui,35,PF,1571687721,70,-16.48,-151.75,80.67,6.85
344,mapastepec,57,MX,1571687721,76,15.44,-92.9,83.25,4.74
345,gallup,1,US,1571687723,14,35.53,-108.74,59.0,12.75
346,kizukuri,100,JP,1571687723,99,40.81,140.39,50.0,7.0
347,san rafael,8,ML,1571687723,47,13.3,-4.9,86.45,5.7
348,kaputa,100,ZM,1571687724,70,-8.47,29.66,69.94,2.55
349,sim,0,BR,1571687724,74,-12.25,-38.93,77.56,7.16
350,ternate,20,PH,1571687725,83,14.29,120.72,80.01,3.36
351,mapiripan,100,CO,1571687725,89,2.89,-72.13,80.15,3.13
352,bac lieu,49,RS,1571687726,72,45.39,19.24,62.01,5.82
353,wagar,100,US,1571687727,77,31.44,-87.99,81.0,5.21
354,sumbe,82,AO,1571687728,81,-11.2,13.84,75.47,5.73
355,lock haven,40,US,1571687728,56,40.27,-82.61,73.99,11.41
356,kalabo,18,ZM,1571687729,23,-15.0,22.67,78.58,4.36
357,cabedelo,40,BR,1571687730,65,-6.97,-34.84,82.4,11.41
358,melo,84,UY,1571687730,89,-32.37,-54.17,55.74,8.43
359,marystown,0,CA,1571687731,2,47.17,-55.16,48.99,5.01
360,ostrovnoy,100,RU,1571687731,97,68.05,39.51,18.84,6.08
361,san buenaventura,8,ML,1571687731,47,13.3,-4.9,86.45,5.7
362,havre-saint-pierre,40,CA,1571687732,70,50.23,-63.6,42.8,5.82
363,puerto madryn,20,AR,1571687733,20,-51.62,-69.23,64.4,14.99
364,nicoya,75,CR,1571687734,83,10.15,-85.45,78.8,8.05
365,yamandu,100,SL,1571687734,97,7.94,-11.49,74.35,2.26
366,vao,83,EE,1571687735,91,59.1,26.19,41.79,5.06
367,iranshahr,0,IR,1571687736,26,27.21,60.69,78.8,11.74
368,sao gabriel da cachoeira,92,IN,1571687737,92,20.51,76.21,68.5,4.52
369,lazaro cardenas,5,MX,1571687737,15,29.05,-111.04,93.0,4.7
370,nador,20,MA,1571687737,87,35.17,-2.93,60.8,4.7
371,virginia beach,40,US,1571687738,45,39.95,-90.21,64.99,19.46
372,san cristobal,8,ML,1571687738,47,13.3,-4.9,86.45,5.7
373,shimanovsk,67,RU,1571687739,76,52.0,127.67,30.4,4.18
374,molde,100,NO,1571687740,81,62.74,7.16,44.6,4.7
375,ouegoa,100,NC,1571687740,67,-20.34,164.44,74.01,5.1
376,palmerston,78,AU,1571687741,78,-12.49,130.99,79.0,4.7
377,peci,1,BA,1571687741,82,44.63,16.79,57.2,4.7
378,batagay-alyta,12,RU,1571687742,73,67.8,130.41,7.79,4.0
379,rocha,100,UY,1571687742,94,-34.48,-54.34,50.85,1.79
380,semnan,40,IR,1571687742,36,35.58,53.39,64.4,4.7
381,kasongo-lunda,100,CD,1571687743,97,-6.48,16.82,69.4,3.29
382,bhadrak,100,IN,1571687744,87,21.06,86.51,75.76,2.55
383,pochutla,20,MX,1571687744,66,15.74,-96.47,88.0,9.17
384,aripuana,100,BR,1571687745,68,-9.17,-60.63,82.11,2.53
385,qaqortoq,20,GL,1571687746,60,60.72,-46.03,39.2,3.36
386,dali,81,CN,1571687747,68,34.79,109.94,57.16,9.6
